Judge Name,COURTHOUSE,Title,Team,Courtroom,Calendar,Standing Order / Separate Instructions,Staff,Link,"Schedule (AS OF Jan. 5, 2026)",Note,Extra Notes 
"Gregory E. Ahern, Jr.",Daley,Associate Judge,Team D Trial Judge,1508,44,,,https://www.cookcountycourtil.gov/judge/ahern-jr-gregory-e#ocj-overview,Prove-Ups: Thursdays; Post Decree: Fridays,,
Julie B. Aimen,Daley,Circuit Judge,Individual Calendar,1608,24,,Terry Bright,https://www.cookcountycourtil.gov/judge/aimen-julie-b,,,
Edward A. Arce,Daley,Circuit Judge,Team D Preliminary Calendar Judge,1602,D,J2-J6,Lourdes Cantres Berrios,https://www.cookcountycourtil.gov/judge/arce-edward-a,,,
Bernadette Barrett,Daley,Circuit Judge,Team D Trial Judge,1902,21,,Eleanora Porter,https://www.cookcountycourtil.gov/judge/barrett-bernadette,,,
William Stewart Boyd,Daley,Associate Judge,Team C Preliminary Calendar Judge,1605,C,,Roxanne DeJulius,https://www.cookcountycourtil.gov/judge/boyd-william-stewart,,,
Iris Chavira,Daley,Circuit Judge,Team D Trial Judge,CL 08,41,,,https://www.cookcountycourtil.gov/judge/chavira-iris-y,Prove-Ups: Mondays; Post Decree: Tuesdays,,
Yvonne Coleman,Daley,Circuit Judge,Team C Trial Judge,1601A,33,,,https://www.cookcountycourtil.gov/judge/coleman-h-yvonne,Prove-Ups: Fridays; Post Decree: Mondays,,
Patricia Fallon,Daley,Circuit Judge,Individual Calendar,2805,64,,Krystle Owens-Stafford,https://www.cookcountycourtil.gov/judge/fallon-patricia-m,,,
Rossana Fernandez,Daley,Circuit Judge,Individual Calendar,3009,99,,Michael Davi,https://www.cookcountycourtil.gov/judge/fernandez-rossana-p,,,
Ellen Flannigan,Daley,Circuit Judge,Team E Trial Judge,1901,51,,,https://www.cookcountycourtil.gov/judge/flannigan-ellen-l,Prove-Ups: Mondays; Post Decree: Tuesdays,,
Michael Forti,Daley,Circuit Judge,Individual Calendar,3004,61,,Ebony Cheers,https://www.cookcountycourtil.gov/judge/forti-michael-a,,,"Complete every box on the forms. Do not leave any forms blank. For example, there may be a box asking you how you and your spouse intend to divide marital property. Even if you have no marital property, do not leave the box blank. Instead, state that you do not have marital property.  "
Matthew Jannusch,Daley,Associate Judge,Individual Calendar,3003,11,,Timmie Taylor,https://www.cookcountycourtil.gov/judge/jannusch-matthew-w,,,
Lionel Jean-Baptiste,Daley,Circuit Judge,Individual Calendar,2807,42,,,https://www.cookcountycourtil.gov/judge/jean-baptiste-lionel,Prove-Ups: Fridays; Post Decree: Mondays,,
Robert Johnson,Daley,Associate Judge,Individual Calendar,2108,23,,Kaye Mason,https://www.cookcountycourtil.gov/judge/johnson-robert-w,,,
Matthew Link,Daley,Circuit Judge,Complex Litigation Calendar Judge,2002,74,,Jaime Barcas,https://www.cookcountycourtil.gov/judge/link-matthew,Prove-Ups: Tuesdays; Post Decree: Wednesdays,Judge Link will hear cases assigned to Calendar 76 remotely from the Daley Center until further notice (1/5/2026),
Myron Mackoff,Daley,Associate Judge,,2301,14,,Andrew Rice-Henderson,https://www.cookcountycourtil.gov/judge/mackoff-myron-f,,,
Maritza Martinez,Daley,Circuit Judge,Individual Calendar,3006,97,,Nancy Houston,https://www.cookcountycourtil.gov/judge/martinez-maritza,,,
Maura McMahon Zeller,Daley,Circuit Judge,Individual Calendar,1506,63,,Jules Vazquez,https://www.cookcountycourtil.gov/judge/mcmahon-zeller-maura,,,
James Murphy Aguilu,Daley,Circuit Judge,Team C Trial Judge,CL 04,35,,,https://www.cookcountycourtil.gov/judge/murphy-aguilu-james,,,
Geri Pinzur Rosenburg,Daley,Associate Judge,Individual Calendar,3010,62,,Beatriz Garcia,https://www.cookcountycourtil.gov/judge/rosenberg-geri-pinzur,,,
Patrick Powers,Daley,Circuit Judge,Team E Preliminary Calendar Judge,1603,E,,Estefania Dominguez,https://www.cookcountycourtil.gov/judge/powers-patrick-j,,,
Jill Rose Quinn,Daley,Circuit Judge,Team Trial Section,CL 02,32,,,https://www.cookcountycourtil.gov/judge/quinn-jill-rose,Prove-Ups: Thursdays; Post Decree: Fridays,,
Abbey Fishman Romanek,Daley,Circuit Judge ,Individual Calendar,3008,94,,JoAnne Cepek,https://www.cookcountycourtil.gov/judge/fishman-romanek-abbey,,,
Diana Rosario,Daley,Circuit Judge,Team D Trial Judge,1603A,55,J1,,https://www.cookcountycourtil.gov/judge/rosario-diana,Prove-Ups: Fridays; Post Decree: Thursdays,,
Lori Rosen,Daley,Associate Judge,Individual Calendar,3001,98,,Grace Gibson,https://www.cookcountycourtil.gov/judge/rosen-lori,,,"Complete every box on the forms. Do not leave any forms blank. For example, there may be a box asking you how you and your spouse intend to divide marital property. Even if you have no marital property, do not leave the box blank. Instead, state that you do not have marital property.  "
